Ulasan,Rate,Label,case_folding,token,Normalisasi,Stopwords,Stemmer
cukup rapi repackage nya,3.0,netral,cukup rapi repackage nya,"['cukup', 'rapi', 'repackage', 'nya']","['cukup', 'rapi', 'repackage', 'nya']","['rapi', 'repackage']","['rapi', 'repackage']"
"barang nya bagus, sesuai pesanan original",5.0,positif,barang nya bagus  sesuai pesanan original,"['barang', 'nya', 'bagus', 'sesuai', 'pesanan', 'original']","['barang', 'nya', 'bagus', 'sesuai', 'pesanan', 'original']","['barang', 'bagus', 'sesuai', 'pesanan', 'original']","['barang', 'bagus', 'sesuai', 'pesan', 'original']"
barang sesuai dengan pesanan terimakasih,5.0,positif,barang sesuai dengan pesanan terimakasih,"['barang', 'sesuai', 'dengan', 'pesanan', 'terimakasih']","['barang', 'sesuai', 'dengan', 'pesanan', 'terima kasih']","['barang', 'sesuai', 'pesanan', 'terima kasih']","['barang', 'sesuai', 'pesan', 'terima kasih']"
Barang original dan semoga awet,5.0,positif,barang original dan semoga awet,"['barang', 'original', 'dan', 'semoga', 'awet']","['barang', 'original', 'dan', 'semoga', 'awet']","['barang', 'original', 'semoga', 'awet']","['barang', 'original', 'moga', 'awet']"
Sudah 2x transaksi di toko ini dan puas dengan hasilnya Hp belum dicoba,5.0,positif,sudah  x transaksi di toko ini dan puas dengan hasilnya hp belum dicoba,"['sudah', 'x', 'transaksi', 'di', 'toko', 'ini', 'dan', 'puas', 'dengan', 'hasilnya', 'hp', 'belum', 'dicoba']","['sudah', 'sangat', 'transaksi', 'di', 'toko', 'ini', 'dan', 'puas', 'dengan', 'hasilnya', 'hp', 'belum', 'dicoba']","['transaksi', 'toko', 'puas', 'hasilnya', 'hp', 'dicoba']","['transaksi', 'toko', 'puas', 'hasil', 'hp', 'coba']"
barang bagus ori dan masih segel,5.0,positif,barang bagus ori dan masih segel,"['barang', 'bagus', 'ori', 'dan', 'masih', 'segel']","['barang', 'bagus', 'ori', 'dan', 'masih', 'segel']","['barang', 'bagus', 'ori', 'segel']","['barang', 'bagus', 'ori', 'segel']"
"𝐒𝐞𝐬𝐮𝐚𝐢 𝐝𝐞𝐬𝐤𝐫𝐢𝐩𝐬𝐢, 𝐛𝐚𝐫𝐚𝐧𝐠 𝐦𝐚𝐬𝐢𝐡 𝐬𝐞𝐠𝐞𝐥 𝐨𝐫𝐢 𝐣𝐮𝐠𝐚,& 𝐬𝐞𝐥𝐥𝐞𝐫 𝐫𝐚𝐦𝐚𝐡 𝐬𝐚𝐚𝐭 𝐝𝐢𝐭𝐚𝐧𝐲𝐚𝟐. 𝐏𝐞𝐧𝐠𝐢𝐫𝐢𝐦𝐚𝐧 𝟑'𝐡𝐚𝐫𝐢, 𝐏𝐚𝐜𝐤𝐢𝐧𝐠 𝐚𝐦𝐚𝐧 𝐤𝐫𝐞𝐧𝐚 𝐬𝐚𝐧𝐠𝐚𝐭 𝐭𝐞𝐛𝐚𝐥. 𝐋𝐚𝐢𝐧 𝐰𝐚𝐤𝐭𝐮 𝐛𝐢𝐬𝐚 𝐨𝐫𝐝𝐞𝐫 𝐝𝐢𝐬𝐢𝐧𝐢 𝐥𝐚𝐠𝐢, 𝐤𝐫𝐞𝐧𝐚 𝐛𝐧𝐲𝐚𝐤 𝐩𝐨𝐭𝐨𝐧𝐠𝐚𝐧 𝐡𝐚𝐫𝐠𝐚 𝐲𝐚𝐧𝐠 𝐬𝐚𝐧𝐠𝐚𝐭 𝐥𝐮𝐦𝐚𝐲𝐚𝐧. 𝐦𝐚𝐤𝐚𝐬𝐢𝐡 𝐬𝐞𝐥𝐥𝐞𝐫&𝐓𝐨𝐤𝐨𝐩𝐞𝐝𝐢𝐚, 𝐁𝐞𝐫𝐤𝐚𝐡 𝐬𝐞𝐥𝐚𝐥𝐮...",5.0,positif,                                                                                                                                                                                                                                                             ,[],[],[],[]
"Kartu garansinya sudah diambil ketika diterima dan segel sudah dibuka, isi paket lengkap, hp dalam kondisi pabrik. semoga awet",5.0,positif,kartu garansinya sudah diambil ketika diterima dan segel sudah dibuka  isi paket lengkap  hp dalam kondisi pabrik  semoga awet,"['kartu', 'garansinya', 'sudah', 'diambil', 'ketika', 'diterima', 'dan', 'segel', 'sudah', 'dibuka', 'isi', 'paket', 'lengkap', 'hp', 'dalam', 'kondisi', 'pabrik', 'semoga', 'awet']","['kartu', 'garansinya', 'sudah', 'diambil', 'ketika', 'diterima', 'dan', 'segel', 'sudah', 'dibuka', 'isi', 'paket', 'lengkap', 'hp', 'dalam', 'kondisi', 'pabrik', 'semoga', 'awet']","['kartu', 'garansinya', 'diambil', 'diterima', 'segel', 'dibuka', 'isi', 'paket', 'lengkap', 'hp', 'kondisi', 'pabrik', 'semoga', 'awet']","['kartu', 'garansi', 'ambil', 'terima', 'segel', 'buka', 'isi', 'paket', 'lengkap', 'hp', 'kondisi', 'pabrik', 'moga', 'awet']"
"mantap, pngiriman mantap",5.0,positif,mantap  pngiriman mantap,"['mantap', 'pngiriman', 'mantap']","['mantap', 'pngiriman', 'mantap']","['mantap', 'pngiriman', 'mantap']","['mantap', 'pngiriman', 'mantap']"
"barang bagus dan sesuai, pengiriman cepat",5.0,positif,barang bagus dan sesuai  pengiriman cepat,"['barang', 'bagus', 'dan', 'sesuai', 'pengiriman', 'cepat']","['barang', 'bagus', 'dan', 'sesuai', 'pengiriman', 'cepat']","['barang', 'bagus', 'sesuai', 'pengiriman', 'cepat']","['barang', 'bagus', 'sesuai', 'kirim', 'cepat']"
barang masih disegel...original berfungsi dengan baik,5.0,positif,barang masih disegel   original berfungsi dengan baik,"['barang', 'masih', 'disegel', 'original', 'berfungsi', 'dengan', 'baik']","['barang', 'masih', 'disegel', 'original', 'berfungsi', 'dengan', 'baik']","['barang', 'disegel', 'original', 'berfungsi']","['barang', 'segel', 'original', 'fungsi']"
bagus,5.0,positif,bagus,['bagus'],['bagus'],['bagus'],['bagus']
"Barang telah diterima dengan baik. Spec mantab, terima kasih.",5.0,positif,barang telah diterima dengan baik  spec mantab  terima kasih ,"['barang', 'telah', 'diterima', 'dengan', 'baik', 'spec', 'mantab', 'terima', 'kasih']","['barang', 'telah', 'diterima', 'dengan', 'baik', 'spesifikasi', 'mantap', 'terima', 'kasih']","['barang', 'diterima', 'spesifikasi', 'mantap', 'terima', 'kasih']","['barang', 'terima', 'spesifikasi', 'mantap', 'terima', 'kasih']"
barang bagus masih segel dan garansi resmi,5.0,positif,barang bagus masih segel dan garansi resmi,"['barang', 'bagus', 'masih', 'segel', 'dan', 'garansi', 'resmi']","['barang', 'bagus', 'masih', 'segel', 'dan', 'garansi', 'resmi']","['barang', 'bagus', 'segel', 'garansi', 'resmi']","['barang', 'bagus', 'segel', 'garansi', 'resmi']"
mantap seller jg ramah dan responya cepet,5.0,positif,mantap seller jg ramah dan responya cepet,"['mantap', 'seller', 'jg', 'ramah', 'dan', 'responya', 'cepet']","['mantap', 'seller', 'juga', 'ramah', 'dan', 'respon', 'cepat']","['mantap', 'seller', 'ramah', 'respon', 'cepat']","['mantap', 'seller', 'ramah', 'respon', 'cepat']"
barang sesuai,5.0,positif,barang sesuai,"['barang', 'sesuai']","['barang', 'sesuai']","['barang', 'sesuai']","['barang', 'sesuai']"
barang bagus paking bagus pengiriman cepat..👍👍,5.0,positif,barang bagus paking bagus pengiriman cepat    ,"['barang', 'bagus', 'paking', 'bagus', 'pengiriman', 'cepat']","['barang', 'bagus', 'paking', 'bagus', 'pengiriman', 'cepat']","['barang', 'bagus', 'paking', 'bagus', 'pengiriman', 'cepat']","['barang', 'bagus', 'paking', 'bagus', 'kirim', 'cepat']"
"Mantap, terima kasih.. Packing juga oke banget.. 👍",5.0,positif,mantap  terima kasih   packing juga oke banget    ,"['mantap', 'terima', 'kasih', 'packing', 'juga', 'oke', 'banget']","['mantap', 'terima', 'kasih', 'packing', 'juga', 'oke', 'banget']","['mantap', 'terima', 'kasih', 'packing', 'banget']","['mantap', 'terima', 'kasih', 'packing', 'banget']"
Mantaaapp.... Original. Sesue deskripsi. Dus masih segel. Ada garansi resmi. Berfungsi dgn normal. Packing aman. Fast respon & Fast Delivery 👍👍,5.0,positif,mantaaapp     original  sesue deskripsi  dus masih segel  ada garansi resmi  berfungsi dgn normal  packing aman  fast respon   fast delivery   ,"['mantaaapp', 'original', 'sesue', 'deskripsi', 'dus', 'masih', 'segel', 'ada', 'garansi', 'resmi', 'berfungsi', 'dgn', 'normal', 'packing', 'aman', 'fast', 'respon', 'fast', 'delivery']","['mantaaapp', 'original', 'sesuai', 'deskripsi', 'kardus', 'masih', 'segel', 'ada', 'garansi', 'resmi', 'berfungsi', 'dengan', 'normal', 'packing', 'aman', 'fast', 'respon', 'fast', 'delivery']","['mantaaapp', 'original', 'sesuai', 'deskripsi', 'kardus', 'segel', 'garansi', 'resmi', 'berfungsi', 'normal', 'packing', 'aman', 'fast', 'respon', 'fast', 'delivery']","['mantaaapp', 'original', 'sesuai', 'deskripsi', 'kardus', 'segel', 'garansi', 'resmi', 'fungsi', 'normal', 'packing', 'aman', 'fast', 'respon', 'fast', 'delivery']"
mantab... semoga awet...,5.0,positif,mantab    semoga awet   ,"['mantab', 'semoga', 'awet']","['mantap', 'semoga', 'awet']","['mantap', 'semoga', 'awet']","['mantap', 'moga', 'awet']"
alhamdulillah sudah sampai dengan selamat dan semoga amanah. .terimakasih seller,5.0,positif,alhamdulillah sudah sampai dengan selamat dan semoga amanah   terimakasih seller,"['alhamdulillah', 'sudah', 'sampai', 'dengan', 'selamat', 'dan', 'semoga', 'amanah', 'terimakasih', 'seller']","['alhamdulillah', 'sudah', 'sampai', 'dengan', 'selamat', 'dan', 'semoga', 'amanah', 'terima kasih', 'seller']","['alhamdulillah', 'selamat', 'semoga', 'amanah', 'terima kasih', 'seller']","['alhamdulillah', 'selamat', 'moga', 'amanah', 'terima kasih', 'seller']"
Mantapppppp.... Fast Respon Fast Delivery Original... dan Safety Packing 😁😁😁,5.0,positif,mantapppppp     fast respon fast delivery original    dan safety packing    ,"['mantapppppp', 'fast', 'respon', 'fast', 'delivery', 'original', 'dan', 'safety', 'packing']","['mantap', 'fast', 'respon', 'fast', 'delivery', 'original', 'dan', 'safety', 'packing']","['mantap', 'fast', 'respon', 'fast', 'delivery', 'original', 'safety', 'packing']","['mantap', 'fast', 'respon', 'fast', 'delivery', 'original', 'safety', 'packing']"
Barang mantap dan ori segel. Pelayanan cepat.,5.0,positif,barang mantap dan ori segel  pelayanan cepat ,"['barang', 'mantap', 'dan', 'ori', 'segel', 'pelayanan', 'cepat']","['barang', 'mantap', 'dan', 'ori', 'segel', 'pelayanan', 'cepat']","['barang', 'mantap', 'ori', 'segel', 'pelayanan', 'cepat']","['barang', 'mantap', 'ori', 'segel', 'layan', 'cepat']"
"pesenan sampai sesuai,kwalitas barang original respon penjual cepet.",5.0,positif,pesenan sampai sesuai kwalitas barang original respon penjual cepet ,"['pesenan', 'sampai', 'sesuai', 'kwalitas', 'barang', 'original', 'respon', 'penjual', 'cepet']","['pesanan', 'sampai', 'sesuai', 'kualitas', 'barang', 'original', 'respon', 'penjual', 'cepat']","['pesanan', 'sesuai', 'kualitas', 'barang', 'original', 'respon', 'penjual', 'cepat']","['pesan', 'sesuai', 'kualitas', 'barang', 'original', 'respon', 'jual', 'cepat']"
Barang asli oppo. Sesuai imei nya. Masih segel. Trims,5.0,positif,barang asli oppo  sesuai imei nya  masih segel  trims,"['barang', 'asli', 'oppo', 'sesuai', 'imei', 'nya', 'masih', 'segel', 'trims']","['barang', 'asli', 'oppo', 'sesuai', 'imei', 'nya', 'masih', 'segel', 'terima kasih']","['barang', 'asli', 'oppo', 'sesuai', 'imei', 'segel', 'terima kasih']","['barang', 'asli', 'oppo', 'sesuai', 'imei', 'segel', 'terima kasih']"
alhamdulillah Puasss,5.0,positif,alhamdulillah puasss,"['alhamdulillah', 'puasss']","['alhamdulillah', 'puas']","['alhamdulillah', 'puas']","['alhamdulillah', 'puas']"
oke thanks,5.0,positif,oke thanks,"['oke', 'thanks']","['oke', 'terima kasih']",['terima kasih'],['terima kasih']
"joooooos, tidak diragukan lagi",5.0,positif,joooooos  tidak diragukan lagi,"['joooooos', 'tidak', 'diragukan', 'lagi']","['jos', 'tidak', 'diragukan', 'lagi']","['jos', 'diragukan']","['jos', 'ragu']"
"Mantul, walaupun ada drama di kurir pengirimanya☝🏻",5.0,positif,mantul  walaupun ada drama di kurir pengirimanya  ,"['mantul', 'walaupun', 'ada', 'drama', 'di', 'kurir', 'pengirimanya']","['mantap betul', 'walaupun', 'ada', 'drama', 'di', 'kurir', 'pengirimannya']","['mantap betul', 'drama', 'kurir', 'pengirimannya']","['mantap betul', 'drama', 'kurir', 'kirim']"
"sll recomended.. smpai saat ini msh terbaik.. sdh kesekian kalinya beli disini, ttp amanah.. seller fast respon.. expedisi jg sgt cepat via JNE.. ke tempat sy biasanya 5... Selengkapnya",5.0,positif,sll recomended   smpai saat ini msh terbaik   sdh kesekian kalinya beli disini  ttp amanah   seller fast respon   expedisi jg sgt cepat via jne   ke tempat sy biasanya      selengkapnya,"['sll', 'recomended', 'smpai', 'saat', 'ini', 'msh', 'terbaik', 'sdh', 'kesekian', 'kalinya', 'beli', 'disini', 'ttp', 'amanah', 'seller', 'fast', 'respon', 'expedisi', 'jg', 'sgt', 'cepat', 'via', 'jne', 'ke', 'tempat', 'sy', 'biasanya', 'selengkapnya']","['sll', 'recomended', 'sampai', 'saat', 'ini', 'masih', 'terbaik', 'sudah', 'kesekian', 'kalinya', 'beli', 'disini', 'tetap', 'amanah', 'seller', 'fast', 'respon', 'expedisi', 'juga', 'sangat', 'cepat', 'via', 'jne', 'ke', 'tempat', 'saya', 'biasanya', 'selengkapnya']","['sll', 'recomended', 'terbaik', 'kesekian', 'kalinya', 'beli', 'amanah', 'seller', 'fast', 'respon', 'expedisi', 'cepat', 'via', 'jne', 'selengkapnya']","['sll', 'recomended', 'baik', 'sekian', 'kali', 'beli', 'amanah', 'seller', 'fast', 'respon', 'expedisi', 'cepat', 'via', 'jne', 'lengkap']"
Sesuai deskripsi respon cepat dan semoga awet,5.0,positif,sesuai deskripsi respon cepat dan semoga awet,"['sesuai', 'deskripsi', 'respon', 'cepat', 'dan', 'semoga', 'awet']","['sesuai', 'deskripsi', 'respon', 'cepat', 'dan', 'semoga', 'awet']","['sesuai', 'deskripsi', 'respon', 'cepat', 'semoga', 'awet']","['sesuai', 'deskripsi', 'respon', 'cepat', 'moga', 'awet']"
"Barang sesuai deskripsi, Warna sesuai orderan, Thanks,Gan.",5.0,positif,barang sesuai deskripsi  warna sesuai orderan  thanks gan ,"['barang', 'sesuai', 'deskripsi', 'warna', 'sesuai', 'orderan', 'thanks', 'gan']","['barang', 'sesuai', 'deskripsi', 'warna', 'sesuai', 'orderan', 'terima kasih', 'gan']","['barang', 'sesuai', 'deskripsi', 'warna', 'sesuai', 'orderan', 'terima kasih']","['barang', 'sesuai', 'deskripsi', 'warna', 'sesuai', 'order', 'terima kasih']"
Barang masih segel. Respon seler cepet.,5.0,positif,barang masih segel  respon seler cepet ,"['barang', 'masih', 'segel', 'respon', 'seler', 'cepet']","['barang', 'masih', 'segel', 'respon', 'seller', 'cepat']","['barang', 'segel', 'respon', 'seller', 'cepat']","['barang', 'segel', 'respon', 'seller', 'cepat']"
"barang bagus sesuai diskripsi,semoga awet,dn Barakah",5.0,positif,barang bagus sesuai diskripsi semoga awet dn barakah,"['barang', 'bagus', 'sesuai', 'diskripsi', 'semoga', 'awet', 'dn', 'barakah']","['barang', 'bagus', 'sesuai', 'deskripsi', 'semoga', 'awet', 'dan', 'berkah']","['barang', 'bagus', 'sesuai', 'deskripsi', 'semoga', 'awet', 'berkah']","['barang', 'bagus', 'sesuai', 'deskripsi', 'moga', 'awet', 'berkah']"
"sesuai deskripsi, barang ori segel, belum dibuka karena pesanan temen, moga aja normal tanpa kendala, thx",5.0,positif,sesuai deskripsi  barang ori segel  belum dibuka karena pesanan temen  moga aja normal tanpa kendala  thx,"['sesuai', 'deskripsi', 'barang', 'ori', 'segel', 'belum', 'dibuka', 'karena', 'pesanan', 'temen', 'moga', 'aja', 'normal', 'tanpa', 'kendala', 'thx']","['sesuai', 'deskripsi', 'barang', 'ori', 'segel', 'belum', 'dibuka', 'karena', 'pesanan', 'temen', 'semoga', 'saja', 'normal', 'tanpa', 'kendala', 'terima kasih']","['sesuai', 'deskripsi', 'barang', 'ori', 'segel', 'dibuka', 'pesanan', 'temen', 'semoga', 'normal', 'kendala', 'terima kasih']","['sesuai', 'deskripsi', 'barang', 'ori', 'segel', 'buka', 'pesan', 'temen', 'moga', 'normal', 'kendala', 'terima kasih']"
Pengiiman cepat,5.0,positif,pengiiman cepat,"['pengiiman', 'cepat']","['pengiriman', 'cepat']","['pengiriman', 'cepat']","['kirim', 'cepat']"
selalu tepat waktu dan dalam kondisi baik,5.0,positif,selalu tepat waktu dan dalam kondisi baik,"['selalu', 'tepat', 'waktu', 'dan', 'dalam', 'kondisi', 'baik']","['selalu', 'tepat', 'waktu', 'dan', 'dalam', 'kondisi', 'baik']",['kondisi'],['kondisi']
barang masih disegel saat sampe stlh dibuka barang kondisi baik..tp blm dinyalakn pengiriman cepat penjual amanah,5.0,positif,barang masih disegel saat sampe stlh dibuka barang kondisi baik  tp blm dinyalakn pengiriman cepat penjual amanah,"['barang', 'masih', 'disegel', 'saat', 'sampe', 'stlh', 'dibuka', 'barang', 'kondisi', 'baik', 'tp', 'blm', 'dinyalakn', 'pengiriman', 'cepat', 'penjual', 'amanah']","['barang', 'masih', 'disegel', 'saat', 'sampai', 'setelah', 'dibuka', 'barang', 'kondisi', 'baik', 'tetapi', 'belum', 'dinyalakan', 'pengiriman', 'cepat', 'penjual', 'amanah']","['barang', 'disegel', 'dibuka', 'barang', 'kondisi', 'dinyalakan', 'pengiriman', 'cepat', 'penjual', 'amanah']","['barang', 'segel', 'buka', 'barang', 'kondisi', 'nyala', 'kirim', 'cepat', 'jual', 'amanah']"
"Sangat puasss, pelayanan ramah sekali, puas banget, hp nya aman pollllll",5.0,positif,sangat puasss  pelayanan ramah sekali  puas banget  hp nya aman pollllll,"['sangat', 'puasss', 'pelayanan', 'ramah', 'sekali', 'puas', 'banget', 'hp', 'nya', 'aman', 'pollllll']","['sangat', 'puas', 'pelayanan', 'ramah', 'sekali', 'puas', 'banget', 'hp', 'nya', 'aman', 'pol']","['puas', 'pelayanan', 'ramah', 'puas', 'banget', 'hp', 'aman', 'pol']","['puas', 'layan', 'ramah', 'puas', 'banget', 'hp', 'aman', 'pol']"
"terimakasih, garansi resmi, adminnya gercep pesan di jam 5 sore tetap dikirim hari itu juga.",5.0,positif,terimakasih  garansi resmi  adminnya gercep pesan di jam   sore tetap dikirim hari itu juga ,"['terimakasih', 'garansi', 'resmi', 'adminnya', 'gercep', 'pesan', 'di', 'jam', 'sore', 'tetap', 'dikirim', 'hari', 'itu', 'juga']","['terima kasih', 'garansi', 'resmi', 'adminnya', 'gercep', 'pesan', 'di', 'jam', 'sore', 'tetap', 'dikirim', 'hari', 'itu', 'juga']","['terima kasih', 'garansi', 'resmi', 'adminnya', 'gercep', 'pesan', 'jam', 'sore', 'dikirim']","['terima kasih', 'garansi', 'resmi', 'adminnya', 'gercep', 'pesan', 'jam', 'sore', 'kirim']"
"barang bagus pelayanan cepat , bahkan diberikan foto paket sebelum pengiriman",5.0,positif,barang bagus pelayanan cepat   bahkan diberikan foto paket sebelum pengiriman,"['barang', 'bagus', 'pelayanan', 'cepat', 'bahkan', 'diberikan', 'foto', 'paket', 'sebelum', 'pengiriman']","['barang', 'bagus', 'pelayanan', 'cepat', 'bahkan', 'diberikan', 'foto', 'paket', 'sebelum', 'pengiriman']","['barang', 'bagus', 'pelayanan', 'cepat', 'foto', 'paket', 'pengiriman']","['barang', 'bagus', 'layan', 'cepat', 'foto', 'paket', 'kirim']"
